movieId,user_score,language,budget,revenue
133771.0,70,English,"$4,000,000.00","$15,700,000.00"
133780.0,75,Castilian,-,-
133782.0,54,English,"$4,000,000.00","$187,112.00"
133798.0,57,English,"$35,000,000.00","$51,680,201.00"
133802.0,67,English,"$2,000,000.00","$229,094.00"
133832.0,57,English,"$5,000,000.00","$12,666,449.00"
133867.0,57,English,"$15,000,000.00","$933,847.00"
133879.0,66,English,-,-
134004.0,53,English,-,-
134019.0,78,Chinese,-,-
134021.0,72,English,-,-
134041.0,80,Russian,-,-
134095.0,73,Russian,-,-
134109.0,73,Russian,"$4,000,000.00",-
134130.0,77,English,"$108,000,000.00","$631,058,917.00"
134158.0,61,English,-,-
134170.0,75,English,"$630,019.00",-
134184.0,72,Russian,-,-
134214.0,69,Italian,"$13,360,000.00","$2,000,000.00"
134246.0,57,English,"$20,000,000.00",-
134248.0,60,English,-,-
134252.0,76,Russian,-,-
134326.0,71,Italian,-,-
134334.0,65,Hindi,-,-
134368.0,68,English,"$65,000,000.00","$235,666,219.00"
134393.0,58,English,"$35,000,000.00","$140,795,793.00"
134515.0,55,English,"$980,385.00",-
134524.0,74,English,-,-
134528.0,55,English,"$37,000,000.00","$26,250,020.00"
134775.0,64,Chinese,"$65,000,000.00","$121,545,703.00"
134783.0,62,English,"$30,000,000.00","$49,300,000.00"
134796.0,75,English,-,-
134808.0,,,,
134847.0,66,Castilian,-,"$1,438,697.00"
134849.0,81,English,-,-
134853.0,79,English,"$175,000,000.00","$857,611,174.00"
134859.0,68,English,-,"$1,301,696.00"
134861.0,69,English,-,-
134881.0,71,English,"$10,000,000.00","$28,600,000.00"
135133.0,69,English,"$160,000,000.00","$653,428,261.00"
135137.0,57,English,"$88,000,000.00","$244,900,000.00"
135143.0,73,English,"$180,000,000.00","$809,342,332.00"
135198.0,62,German,-,-
135216.0,34,English,-,-
135288.0,65,English,"$11,000,000.00","$29,355,203.00"
135436.0,63,English,"$75,000,000.00","$875,457,937.00"
135456.0,77,Japanese,-,-
135532.0,60,English,"$90,000,000.00","$146,936,910.00"
135534.0,62,English,"$15,000,000.00","$61,800,000.00"
